game_id,game_duration,wins,first_blood,first_tower,first_baron,first_dragon,first_inhibitor,dragon_kills,baron_kills,tower_kills,inhibitor_kills,ward_placed,wardkills,kills,death,assist,champion_damage_dealt,total_gold,total_minion_kills,total_level,avg_level,jungle_minion_kills,killing_spree,total_heal,object_damage_dealt
4202257607,1120,0,1,1,0,0,1,0,0,2,1,0,0,42,43,88,125025,58772,232,83,16.6,0,7,15766,4822
4069612805,1982,1,0,1,1,1,1,2,1,7,2,59,20,49,61,71,136498,69644,567,82,16.4,144,13,59162,51204
4082720061,1266,1,1,1,0,1,1,3,0,10,2,58,16,23,8,48,50857,43053,523,58,11.6,97,4,27345,59426
4082195843,700,0,0,0,0,0,0,0,0,0,0,15,2,2,14,3,10519,12814,122,26,5.2,35,0,2531,656
4090584477,1076,1,1,1,0,0,1,1,0,7,1,36,9,27,10,34,48307,40872,437,58,11.6,146,7,19296,38567
4066991521,1514,0,1,0,0,0,0,0,0,2,0,77,30,15,37,15,64397,40390,492,59,11.8,105,2,14656,15375
4090060199,984,0,0,0,0,0,0,0,0,0,0,40,15,10,19,17,24875,27062,375,47,9.4,81,3,5168,3026
4081671632,1039,1,0,1,0,1,1,2,0,6,1,31,18,21,13,33,32607,36337,409,49,9.8,97,5,7745,27802
4169227735,931,1,1,1,0,1,1,1,0,8,2,24,4,12,7,11,26485,29594,353,44,8.8,96,3,10794,34163
4128333299,1088,0,0,0,0,0,0,0,0,1,0,52,15,6,18,6,37394,27968,447,47,9.4,80,2,8220,6127
4082720251,969,1,1,1,0,1,0,1,0,4,0,36,4,14,6,15,28003,31954,419,50,10.0,106,5,9875,28011
4100021776,2562,0,1,1,0,1,0,3,0,5,0,133,76,31,27,56,118056,72938,898,84,16.8,241,9,44975,54816
4136197699,1399,1,0,1,1,0,0,1,1,6,0,60,28,22,14,41,57767,49278,573,68,13.6,187,8,30064,68536
3998310030,1901,1,1,1,0,0,1,2,0,8,1,91,45,33,24,70,98865,65158,763,78,15.6,215,8,36278,42610
4032388760,1352,1,0,1,0,1,0,3,0,5,0,39,8,27,16,32,56898,44744,472,61,12.2,136,6,33409,48745
4184432337,1068,1,0,1,0,0,1,0,0,4,2,0,0,25,27,50,99651,54216,212,79,15.8,0,7,15352,9313
4047068896,978,1,0,1,0,0,0,0,0,2,0,31,16,18,5,19,30244,31123,406,51,10.2,79,3,6151,9721
3485556475,1563,1,1,1,0,0,1,1,0,8,1,67,22,33,22,43,85355,56647,596,70,14.0,150,5,45084,38530
4066467580,1736,1,1,0,1,0,1,2,1,9,1,109,49,38,14,51,91400,60802,698,76,15.2,164,7,37657,71646
4157169451,1212,1,0,1,0,0,1,0,0,4,1,0,0,71,49,156,147042,69496,267,90,18.0,0,18,27944,6676
4142489401,1709,0,0,0,0,0,0,0,0,1,0,59,32,22,36,56,65337,48700,621,69,13.8,76,8,34177,13827
4088487811,1399,0,1,1,0,1,0,3,0,7,1,47,3,62,64,83,177492,94533,388,94,18.8,62,16,20820,66530
4080099208,191,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,933,4764,48,13,2.6,16,0,546,56
4103167893,2074,0,0,0,1,0,0,0,1,2,0,136,46,16,40,18,60418,55479,689,69,13.8,180,3,38037,22689
4201209753,1443,0,1,0,0,0,0,0,0,1,0,47,11,25,32,36,65713,42692,449,64,12.8,123,6,21436,15974
4110507949,1280,1,0,0,0,0,0,0,0,4,1,0,0,48,49,147,147857,69005,266,90,18.0,0,11,34609,10474
4059127774,1531,1,0,1,1,1,0,2,1,5,0,80,41,30,14,43,64191,56076,718,70,14.0,141,6,19386,43330
4125188065,1169,0,0,0,0,0,0,0,0,0,0,118,6,6,28,7,31604,26233,337,46,9.2,65,0,12378,1065
4093730788,2277,1,1,1,0,1,1,3,0,10,3,103,43,42,42,81,127828,73675,718,81,16.2,240,10,40045,67495
4181286942,1577,1,0,0,0,0,1,3,0,7,1,54,23,33,23,53,77836,53967,545,71,14.2,183,6,19053,60880
4101595175,1728,0,0,0,1,0,0,0,1,2,0,70,44,24,39,25,82894,53911,660,71,14.2,128,6,26662,19770
3695271977,1774,0,1,0,0,0,0,1,0,2,0,72,27,27,37,58,84947,54949,590,68,13.6,122,7,23942,23715
4098973752,1010,0,0,0,0,1,0,1,0,0,0,33,14,14,25,22,29302,28967,327,45,9.0,88,3,12389,15822
4114702392,191,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,591,4627,46,13,2.6,16,0,902,0
4117323858,1576,0,1,0,0,1,0,1,0,1,0,57,18,23,41,30,71727,45418,551,63,12.6,97,4,27260,14900
4073807973,1252,0,0,0,0,0,0,0,0,0,0,42,10,9,33,14,52563,31641,366,53,10.6,99,1,25154,4253
4083769487,1773,1,0,1,1,1,1,4,1,8,1,108,34,22,16,46,62977,54679,629,71,14.2,179,5,39018,63492
4051263666,976,0,0,0,0,0,0,0,0,0,0,37,8,9,23,10,35394,26482,325,45,9.0,75,2,10206,11705
4044447974,1697,0,0,0,0,0,0,0,0,0,0,71,21,22,42,39,95450,47836,613,68,13.6,103,4,15875,7317
4145111279,1537,0,1,1,0,1,0,1,0,2,0,63,19,19,36,18,62463,45928,555,62,12.4,135,3,24148,32961
4137246988,346,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,6114,16271,25,31,6.2,0,1,1159,0
4165558613,933,0,0,0,0,1,0,1,0,0,0,32,5,7,19,8,25156,23168,274,45,9.0,104,2,10646,7731
4128858454,1435,1,1,1,1,1,1,2,1,6,1,51,22,37,21,63,72954,50801,531,69,13.8,131,9,18962,45400
4069613920,916,0,1,0,0,0,0,0,0,0,0,36,9,7,22,13,26282,23914,302,45,9.0,64,1,9690,3063
4076953978,1377,0,1,0,0,0,0,0,0,0,0,56,23,14,25,16,38906,40746,583,62,12.4,102,2,14975,7817
4030292366,1173,0,1,0,0,0,0,0,0,1,0,19,9,8,16,2,33830,30963,489,49,9.8,113,1,8718,8802
4184433046,1026,0,1,1,0,0,0,0,0,2,0,0,0,33,43,89,78403,53827,191,79,15.8,0,9,19888,5730
4176568732,1216,0,0,0,0,0,0,0,0,1,0,49,9,10,25,14,46101,32328,438,54,10.8,64,3,9121,9140
3965280673,1546,1,1,1,0,0,1,1,0,8,1,75,41,26,15,35,66897,53404,631,69,13.8,157,7,18478,62484
4035535311,1821,0,1,1,1,0,0,0,1,3,0,79,36,20,49,26,76786,55578,673,74,14.8,184,4,16910,41055
4090585563,1312,1,1,0,1,1,1,3,1,10,3,74,3,88,59,66,185862,103670,460,100,20.0,83,20,89817,93727
4159267292,1654,0,1,0,0,0,0,1,0,3,0,73,33,14,28,14,54181,47766,742,68,13.6,178,3,33729,25062
4085342684,2046,1,0,0,0,0,1,3,0,9,2,106,49,31,20,65,95793,67505,820,78,15.6,194,8,74122,53895
3999359477,1761,1,0,1,1,0,1,2,1,9,1,69,26,31,35,42,80975,62780,651,75,15.0,191,8,32443,68848
4131480059,1559,1,1,1,1,0,1,2,1,11,2,60,19,33,20,59,92508,57288,604,71,14.2,151,10,26858,67952
4119421439,1610,0,0,0,0,0,0,0,0,2,0,69,32,18,42,22,65820,45936,589,64,12.8,82,2,19013,18625
4082197000,1510,1,1,0,1,0,1,2,1,9,3,68,37,42,12,68,95735,52356,518,66,13.2,103,10,25483,58454
4071186960,1318,1,0,1,1,0,0,1,1,2,0,58,24,22,25,29,56533,44549,531,65,13.0,136,7,16356,43863
4128334356,1016,0,0,0,0,0,0,0,0,1,0,37,7,11,20,7,28509,28504,358,47,9.4,91,2,11988,6882
3999359529,2020,0,0,1,0,1,0,4,0,4,0,96,34,21,28,25,93834,59365,749,76,15.2,232,5,39608,47212
4188627554,1004,0,0,1,0,1,0,2,0,1,0,40,8,8,18,13,26632,28700,389,47,9.4,118,2,9467,24050
4076954267,1583,1,0,1,0,0,0,1,0,6,0,62,28,37,25,49,94990,55878,653,74,14.8,187,7,29246,40511
4068565665,1683,0,0,1,0,0,0,0,0,2,0,75,30,21,37,17,66587,47457,604,65,13.0,113,5,13485,22716
4134101669,1632,0,0,1,0,0,0,2,0,3,0,76,43,12,28,17,68219,45502,666,64,12.8,156,3,15810,30516
3986252550,970,0,0,0,0,0,0,0,0,0,0,29,12,8,31,4,26552,24407,299,42,8.4,53,1,3350,5307
4157694728,1115,1,1,1,0,1,1,2,0,8,1,37,7,21,8,37,45425,39973,489,56,11.2,103,5,17317,43957
4123091744,2440,1,0,0,1,0,1,2,3,8,1,79,68,49,49,71,177409,86340,834,90,18.0,283,12,37979,98582
4081673013,1597,1,0,0,1,0,1,1,1,9,1,85,58,18,11,28,46910,52802,684,70,14.0,199,4,23582,76323
4158219092,1787,1,1,1,1,0,1,0,1,8,1,94,29,27,35,36,88640,57391,619,72,14.4,197,9,23370,60687
4049691488,1635,0,0,0,0,0,0,1,0,1,0,88,22,26,30,54,70263,47833,540,67,13.4,115,6,18180,12399
4201210738,1872,1,0,0,1,0,1,2,1,7,2,75,12,43,46,63,122919,65965,612,84,16.8,200,12,24001,60878
4176569212,1729,1,1,1,1,1,1,4,1,10,2,69,47,30,17,58,85954,59064,655,73,14.6,193,7,37517,73794
4174996423,2025,1,0,0,0,0,1,4,0,8,2,115,48,28,14,61,94461,62245,741,80,16.0,266,6,48504,85102
4191773665,1373,1,1,1,1,0,0,2,1,5,0,46,20,27,8,30,54096,47975,531,67,13.4,153,8,19174,68323
4008272916,2125,1,0,1,1,0,1,2,1,7,1,101,55,26,20,51,90693,65379,778,81,16.2,235,8,44398,67513
4150355000,1345,1,0,1,0,0,0,2,0,4,0,48,31,17,9,24,54407,41739,569,62,12.4,156,6,33206,40491
4148257877,1377,1,0,1,1,1,1,3,1,10,2,53,19,30,18,54,88995,51679,506,64,12.8,144,10,30941,55652
4211696739,2166,1,1,1,0,1,0,2,0,9,1,81,33,29,34,55,126114,69657,803,86,17.2,203,7,65069,43710
4135674996,1721,1,1,1,1,1,1,2,1,8,1,79,27,34,24,59,101256,60570,660,76,15.2,170,10,35041,54746
4130956404,2287,1,0,0,1,1,1,3,1,11,2,85,47,37,45,62,124751,74821,705,83,16.6,259,9,51087,72796
4109460703,1468,1,0,1,0,0,1,0,0,4,2,0,0,52,51,150,162583,75295,273,90,18.0,0,14,59348,10464
